id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
25408,invited,22,3,3,2,1,2,First,Business Administration,Master,Full Time,University of Cambridge,9,4,7,
25411,invited,24,1,2,0,1,2,Second Upper,Others,Bachelor,Full Time,The University of Melbourne,37,2,12,
25412,invited,23,1,3,0,2,2,First,Economics,Master,Full Time,The University of Warwick,12,3,11,
25413,invited,25,0,3,0,1,2,First,Economics,Bachelor,Full Time,University of York,34,0,0,
25422,invited,21,3,3,1,1,1,Second Upper,Business Administration,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,4,28,
25423,invited,22,1,3,0,1,2,Second Upper,Economics,Bachelor,Full Time,University of York,33,3,5,
25429,rejected,23,2,3,1,1,2,Second Lower,Statistics,Bachelor,Full Time,University of Waterloo,64,4,13,
25435,rejected,24,2,3,1,0,1,Second Lower,English,Bachelor,Full Time,The University of Hong Kong,63,7,31,
25437,invited,21,1,3,1,1,1,Second Upper,Finance,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,3,11,
25439,invited,20,3,3,1,0,1,Second Upper,Business Administration,Bachelor,Full Time,Newcastle University,33,3,10,
25440,invited,24,3,2,3,1,2,Second Upper,Others,Master,Full Time,University of Cambridge,17,3,8,
25444,invited,24,3,4,0,1,1,Second Upper,Business Administration,Bachelor,Full Time,The University of Hong Kong,33,4,30,
25445,invited,23,8,4,1,1,2,Second Upper,Others,Bachelor,Full Time,Nanyang Technological University  Singapore (NTU),4,2,7,
25447,invited,24,3,3,4,1,2,First,Marketing,Bachelor,Full Time,The Hong Kong Polytechnic University,44,3,20,
25449,rejected,22,4,3,0,1,1,Second Upper,Economics,Bachelor,Full Time,The Chinese University of Hong Kong,46,5,34,
25455,invited,22,1,2,1,1,1,Second Upper,Business Administration,Bachelor,Full Time,City University of Hong Kong,46,3,5,
25456,rejected,21,1,3,1,1,1,Second Lower,Business Administration,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,2,22,
25457,invited,22,4,3,2,1,1,Second Upper,Accounting,Bachelor,Full Time,The University of Hong Kong,56,4,12,
25462,invited,21,3,3,5,1,2,First,International Business,Bachelor,Full Time,The University of Hong Kong,44,5,14,
25463,invited,22,3,3,1,1,1,Second Upper,Others,Bachelor,Full Time,University of California  Los Angeles (UCLA),21,3,20,
25464,invited,21,1,3,1,1,1,Second Upper,Others,Bachelor,Full Time,The University of Hong Kong,44,3,8,
25468,invited,23,2,4,8,1,3,Pass,Psychology,Master,Full Time,London School of Economics and Political Science (LSE),15,2,5,
25469,invited,21,3,3,0,1,1,Second Upper,Marketing,Bachelor,Full Time,The Hong Kong University of Science and Technology,47,4,14,
25471,rejected,23,2,3,2,0,1,First,Economics,Bachelor,Full Time,The Chinese University of Hong Kong,46,2,22,
25473,invited,21,3,3,0,1,1,Second Upper,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,47,3,33,
25476,invited,22,2,2,1,1,2,Pass,Computer Science,Master,Full Time,University of St Andrews,17,3,6,
25477,invited,24,2,4,10,1,2,First,Accounting,Bachelor,Full Time,Others,51,6,14,
