id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
16374,-1,23,1,4,0,1,1,4,0,2,0,25,60,3,6,
16376,1,24,4,4,2,1,2,1,3,3,0,124,12,4,18,
16377,-1,24,2,2,0,1,1,4,3,2,0,27,33,1,19,
16388,-1,28,1,2,1,1,1,0,21,2,0,13,28,2,32,
16390,-1,22,2,4,3,1,1,1,3,2,0,35,56,3,15,
16394,1,24,3,4,2,2,1,2,28,2,0,96,47,3,14,
16395,-1,29,2,2,0,0,3,2,13,3,0,133,10,1,62,
16399,-1,27,3,3,0,1,1,0,7,2,0,97,34,2,20,
16400,-1,28,1,4,1,1,2,1,16,3,0,13,21,3,32,
16402,-1,24,0,3,0,0,1,4,8,2,0,13,1,0,0,
16408,-1,21,1,4,0,1,1,4,8,2,0,13,32,1,3,
16411,1,23,3,3,0,0,2,2,10,3,0,136,11,4,56,
16412,1,22,2,3,0,2,1,4,22,2,0,124,33,2,2,
16415,1,22,2,2,0,1,2,2,0,3,0,136,9,0,0,
16417,-1,25,1,3,1,1,1,0,10,2,0,61,25,3,11,
16420,-1,24,1,3,0,0,1,4,22,2,0,136,46,3,18,
16421,-1,26,0,2,0,1,2,1,3,3,0,13,12,2,39,
16425,-1,24,1,2,0,1,2,2,0,3,0,13,35,2,27,
16430,-1,32,1,2,0,1,1,2,8,2,0,96,47,4,94,
16431,1,23,2,3,0,1,2,2,18,3,0,87,13,2,4,
16432,1,24,1,2,1,1,1,2,22,2,0,124,34,2,7,
16441,-1,27,1,2,1,0,2,1,20,3,0,87,21,0,0,
16442,-1,26,0,2,0,0,2,2,0,3,0,136,10,3,22,
16443,-1,26,0,2,0,1,1,0,19,2,0,75,24,3,47,
16447,-1,24,2,2,0,1,1,4,10,2,0,10,25,1,3,
16451,1,23,3,3,0,1,1,2,15,2,0,0,33,3,8,
16452,-1,25,0,3,0,1,1,0,3,2,0,13,53,4,58,
16453,-1,24,4,3,0,0,2,3,10,2,0,69,29,2,3,
16455,-1,24,0,3,0,0,2,0,28,6,0,96,16,0,0,
16458,-1,26,1,2,0,1,1,3,10,2,0,13,59,1,16,
16459,1,21,1,3,0,1,1,2,8,2,0,27,45,4,13,
16464,-1,25,0,2,0,1,2,2,8,3,0,13,30,2,11,
16471,-1,30,1,3,2,1,2,2,8,3,0,96,17,1,9,
16478,1,22,0,3,1,1,1,2,15,2,0,67,45,4,12,
16480,-1,28,0,3,0,0,1,4,8,2,0,25,27,0,0,
16489,1,22,0,2,0,1,1,2,8,2,0,13,25,1,0,
16490,-1,26,3,2,1,0,2,2,1,3,0,48,17,3,12,
16492,1,23,0,2,0,0,1,2,17,2,0,136,45,1,3,
16494,1,25,1,3,2,0,2,0,10,3,0,0,10,4,10,
16495,-1,25,1,2,0,0,1,4,10,2,0,96,53,3,12,
